Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date,Base Score
1579726,7 Eleven Store 37689 B  ,Convenience Store,2282,Firestone Blvd,,Los Angeles,CA,90002,1546,LOS ANGELES,33.9575,-118.2314,2024-03-15,2025-05-05,1
1587426,Super Beverage Center  ,Convenience Store,801,W Cesar E Chavez Ave,,Los Angeles,CA,90012,2130,LOS ANGELES,34.06156,-118.2446,2024-03-15,,1
1584174,M&m Mini Market  ,Convenience Store,6205,S Vermont Ave,,Los Angeles,CA,90044,3719,LOS ANGELES,33.98298,-118.2917,2024-03-15,,1
1586123,Green Mill Liquor ,Convenience Store,3812,Whittier Blvd,,Los Angeles,CA,90023,2402,LOS ANGELES,34.0237,-118.1918,2024-03-14,,1
1157247,E J Mini Market  ,Convenience Store,4600,S Central Ave,,Los Angeles,CA,90011,5455,LOS ANGELES,34.00191,-118.2562,2024-03-14,,1
1576748,Variedades Maryuri #2 ,Small Grocery Store,4621,Santa Monica Blvd,,Los Angeles,CA,90029,1803,LOS ANGELES,34.09109,-118.2901,2024-03-14,2025-08-27,2
1584904,Carniceria Reyes Llc  ,Medium Grocery Store,545,Euclid Ave,,Los Angeles,CA,90063,3170,LOS ANGELES,34.03401,-118.2055,2024-03-13,,3
1586401,Rancho Market  ,Small Grocery Store,11725,Prairie Ave,,Hawthorne,CA,90250,2607,LOS ANGELES,33.9276,-118.3442,2024-03-13,,2
1584522,7 Eleven Store 37727A  ,Convenience Store,2580,Venice Blvd,,Los Angeles,CA,90019,5251,LOS ANGELES,34.04335,-118.317,2024-03-11,,1
1579402,Rose Market  ,Convenience Store,140,W 7th St,,Los Angeles,CA,90014,1906,LOS ANGELES,34.0442,-118.2522,2024-03-11,,1
1579103,Quick Stop Market  ,Convenience Store,12845,Prairie Ave,,Hawthorne,CA,90250,5303,LOS ANGELES,33.9156,-118.3443,2024-03-11,,1
1506246,Perez Mini Market  ,Convenience Store,8918,S Broadway,,Los Angeles,CA,90003,3629,LOS ANGELES,33.95496,-118.2779,2024-03-05,,1
1574661,"Jk Fish Market, Inc.  ",Seafood Specialty,4166,S Broadway,,Los Angeles,CA,90037,2237,LOS ANGELES,34.00776,-118.278,2024-03-05,,2
1588978,DOLLARTREE 10010,Combination Grocery/Other,15103,Hawthorne Blvd, ,Lawndale,CA,90260,2137,LOS ANGELES,33.89436,-118.3532,2024-03-05,,2
1586091,Farmers Liquor  ,Convenience Store,1353,W Rosecrans Ave,Ste 1,Gardena,CA,90247,2599,LOS ANGELES,33.90234,-118.3001,2024-03-05,,1
1578740,US LA Michoacana  ,Large Grocery Store,12301,Atlantic Ave,,Lynwood,CA,90262,5346,LOS ANGELES,33.91081,-118.1923,2024-03-04,,4
1583544,Lali's Market  ,Small Grocery Store,8722,Imperial Hwy,,Downey,CA,90242,3906,LOS ANGELES,33.9177,-118.1402,2024-03-04,2025-06-17,2
1584130,Nuevo Amanecer Mini Mart  ,Convenience Store,2025,N Long Beach Blvd,Ste C,Compton,CA,90221,1279,LOS ANGELES,33.90992,-118.209,2024-03-01,,1
1580956,B&B Market ,Convenience Store,787,E 54th St,,Los Angeles,CA,90011,4635,LOS ANGELES,33.99351,-118.261,2024-03-01,,1
1584561,Bolmart Mediterranean Market  ,Small Grocery Store,4224,Lincoln Blvd,,Marina del Rey,CA,90292,5618,LOS ANGELES,33.98647,-118.4437,2024-03-01,,2
1586275,Raul's Meat Market & Produce  ,Small Grocery Store,1939,Nadeau St,,Los Angeles,CA,90001,3501,LOS ANGELES,33.9677,-118.2376,2024-03-01,,2
1050524,Famous Ed's Liquor & Jr Market  ,Convenience Store,2720,Whittier Blvd, ,Los Angeles,CA,90023,1442,LOS ANGELES,34.03241,-118.2114,2024-02-29,2025-04-23,1
1570058,Reyna Five Mini Market  ,Convenience Store,4824,Avalon Blvd,,Los Angeles,CA,90011,4002,LOS ANGELES,33.99894,-118.265,2024-02-29,,1
1583971,San Pedro Mart  ,Convenience Store,340,S San Pedro St,Ste A,Los Angeles,CA,90013,1628,LOS ANGELES,34.04591,-118.2426,2024-02-29,,1
1585084,Y & G Group  ,Convenience Store,5915,S Normandie Ave,,Los Angeles,CA,90044,2818,LOS ANGELES,33.98694,-118.3004,2024-02-28,,1
801795,Young's Liquor  ,Convenience Store,7414,State St,,Huntington Park,CA,90255,5928,LOS ANGELES,33.97043,-118.2098,2024-02-27,,1
838984,General Store  ,Convenience Store,614,E El Segundo Blvd,,Compton,CA,90222,2321,LOS ANGELES,33.91671,-118.2179,2024-02-27,,1
1580855,Linares Mini Market Llc  ,Convenience Store,8413,S Broadway,,Los Angeles,CA,90003,3342,LOS ANGELES,33.96287,-118.2786,2024-02-27,,1
1577838,Yaritza's Mini Market  ,Convenience Store,7227,S Broadway,,Los Angeles,CA,90003,2029,LOS ANGELES,33.97386,-118.2787,2024-02-27,,1
